1,1901,KOTA MAKASSAR                                     ,DINAS PENDIDIKAN KOTA MAKASSAR
2,1902,KOTA PALOPO                                       ,DINAS PENDIDIKAN KOTA PALOPO
3,1903,KOTA PAREPARE                                     ,DINAS PENDIDIKAN DAN KEBUDAYAAN KOTA PAREPARE
4,1904,KABUPATEN MAROS                                   ,DINAS PENDIDIKAN KABUPATEN MAROS
5,1905,KABUPATEN PANGKAJENE KEPULAUAN                    ,DINAS PENDIDIKAN
6,1906,KABUPATEN GOWA                                    ,DINAS PENDIDIKAN KABUPATEN GOWA
7,1907,KABUPATEN TAKALAR                                 ,DINAS PENDIDIKAN KABUPATEN TAKALAR
8,1908,KABUPATEN JENEPONTO                               ,DINAS PENDIDIKAN DAN KEBUDAYAAN
9,1909,KABUPATEN BARRU                                   ,DINAS PENDIDIKAN KAB. BARRU
10,1910,KABUPATEN BONE                                    ,DINAS PENDIDIKAN KABUPATEN BONE
11,1911,KABUPATEN WAJO                                    ,DINAS PENDIDIKAN DAN KEBUDAYAAN KABUPATEN WAJO
12,1912,KABUPATEN SOPPENG                                 ,DINAS PENDIDIKAN
13,1913,KABUPATEN BANTAENG                                ,DINAS PENDIDIKAN DAN KEBUDAYAAN
14,1914,KABUPATEN BULUKUMBA                               ,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
15,1915,KABUPATEN SINJAI                                  ,DINAS PENDIDIKAN KABUPATEN SINJAI
16,1916,KABUPATEN KEPULAUAN SELAYAR                       ,DINAS PENDIDIKAN DAN KEBUDAYAAN KAB. KEP. SELAYAR
17,1917,KABUPATEN PINRANG                                 ,DINAS PENDIDIKAN DAN KEBUDAYAAN
18,1918,KABUPATEN SIDENRENG RAPPANG                       ,DINAS PENDIDIKAN DAN KEBUDAYAAN KABUPATEN SIDRAP
19,1919,KABUPATEN ENREKANG                                ,DINAS PENDIDIKAN DAN KEBUDAYAAN
20,1920,KABUPATEN LUWU                                    ,DINAS PENDIDIKAN DAN KEBUDAYAAN
21,1921,KABUPATEN LUWU UTARA                              ,DINAS PENDIDIKAN
22,1922,KABUPATEN TANA TORAJA                             ,DINAS PENDIDIKAN KABUPATEN TANA TORAJA
23,1923,KABUPATEN LUWU TIMUR                              ,DINAS PENDIDIKAN
24,1924,KABUPATEN TORAJA UTARA                            ,DINAS PENDIDIKAN KABUPATEN TORAJA UTARA
